split|naive|42	0.1992	0.9716	0.5922	0.2000	0.7970	0.0245	0.200/0.197/0.200/0.200/0.199
split|naive|43	0.1996	0.9690	0.5612	0.2000	0.7987	0.0293	0.200/0.199/0.200/0.200/0.200
split|naive|44	0.1993	0.9841	0.5427	0.2000	0.7989	0.0142	0.200/0.199/0.200/0.200/0.199
split|er|42	0.8855	0.9958	0.6425	0.8857	0.1099	0.0024	0.200/0.396/0.582/0.745/0.885
split|er|43	0.8792	0.9964	0.7343	0.8799	0.1166	0.0020	0.200/0.396/0.582/0.747/0.879
split|er|44	0.8843	0.9954	0.6805	0.8846	0.1108	0.0028	0.200/0.395/0.579/0.747/0.884
expert100|naive|42	0.1984	0.9958	0.5327	0.2000	0.7983	0.0009	0.200/0.199/0.199/0.200/0.198
expert100|naive|43	0.1983	0.9946	0.6031	0.2000	0.7984	0.0021	0.200/0.199/0.200/0.200/0.198
expert100|naive|44	0.1992	0.9961	0.6040	0.2000	0.7985	0.0017	0.200/0.199/0.200/0.200/0.199
expert100|er|42	0.8898	0.9972	0.5978	0.8905	0.1052	0.0005	0.200/0.396/0.578/0.751/0.890
expert100|er|43	0.8885	0.9974	0.6021	0.8884	0.1065	0.0001	0.200/0.396/0.578/0.748/0.889
expert100|er|44	0.8841	0.9970	0.6504	0.8846	0.1104	0.0002	0.200/0.396/0.579/0.747/0.884
expert50|naive|42	0.1986	0.9876	0.2956	0.2000	0.7983	0.0092	0.200/0.199/0.200/0.200/0.199
expert50|naive|43	0.1989	0.9970	0.5253	0.2000	0.7978	0.0000	0.200/0.199/0.200/0.200/0.199
expert50|naive|44	0.1983	0.9959	0.5649	0.2000	0.7984	0.0008	0.200/0.199/0.200/0.200/0.198
expert50|er|42	0.8680	0.9964	0.5952	0.8685	0.1257	0.0003	0.200/0.395/0.580/0.743/0.868
expert50|er|43	0.8783	0.9965	0.6160	0.8791	0.1166	0.0007	0.200/0.395/0.574/0.745/0.878
expert50|er|44	0.8962	0.9958	0.5776	0.8981	0.0975	0.0005	0.200/0.394/0.579/0.745/0.896
