buf-own|big|inflr0.0003|ep5	0.8855	0.8899	0.6816	0.7424
buf-own|big|inflr0.001|ep5	0.8687	0.8704	0.6735	0.7424
buf-own|big|inflr0.003|ep5	0.8361	0.8408	0.6486	0.7424
buf-own|big|inflr0.001|ep10	0.8745	0.8727	0.5376	0.5688
buf-own|big|inflr0.001|ep20	0.8772	0.8763	0.5535	0.6047
er-own|big|inflr0.0003|ep5	0.8847	0.8875	0.8926	0.9913
er-own|big|inflr0.001|ep5	0.8565	0.8636	0.8708	0.9913
er-own|big|inflr0.003|ep5	0.7390	0.7471	0.7618	0.9913
er-own|big|inflr0.001|ep10	0.8662	0.8712	0.8698	0.9924
er-own|big|inflr0.001|ep20	0.8768	0.8736	0.8707	0.9907
